status,listPrice,baths,baths_full,beds,sqft,stories,text,type,year_built
for_sale,150000.0,2,2.0,4.0,1687.0,1.0,Perfect starter home investment opportunity great neighborhood  Located end culdesac spacious fenced lot 4 bedroom 2 bath home tosn potential  home large enough accomodate large family blank canvas waiting turned something amazing  Home needs updating throughout offered ,single_family,1972
for_sale,90000.0,0,2.3,3.5,2334.6,1.4,parcel one 3 connect purchased whole totaling 33  acres  Please inquire Wayne Lynzee information Possible owner financing 3 Lots dramatic captivating canyon wall sets backdrop 2248 acre  parcel clear  mineral thick waters wind atop river shoreline  Located Pandale  Texas along prestigious Pecos River serene desert beauty improved 2 bedroom 1 bath manufactured home  connex storage building utilities place  Residential  recreational  wonderful area enjoy anytime year  Relax enjoy peacefulness live water escape relish surroundings  Offering roughly 1000 feet riverfront access  private beach awaits  Admire spectacular scenery  bird watch  cool crystal clear river tune sounds nature  Adventure awaits fishing  swimming  kayaking canoeing majestic waters one iconic rivers Texas  backyard  Hike  backpack explore land looking Native American caves arrow heads staggering West Texas views every direction  Get ready gorgeous sunsets set behind scenic rolling hills big starry nights fill Texas sky  area offers great environment wildlife sightings hunting  healthy whitetail deer population game trails lead throughout property  native fauna include Rio Grande turkey  javelina  blue quail  dove seasonal waterfowl  Predators fox  bobcats  mountain lions  hogs  occasional bear also found  terrain mostly flat sandy loam soil cleared areas road leads water  Vegetation mostly comprised Chihuahuan Desert species honey mesquite  net leaf hackberry  cottonwood  juniper  desert willow  western soapberry native brush grass species  translucent river passing tract flaunts peaceful flowing waters rocky rapids leading deep hole water making suitable aqua activity  Known river crosses  Pecos River  rich history one major tributaries Rio Grande  Even 100 degree heat river stays cold  begins 12  000 feet western slope Sangre de Cristo mountains runs New Mexico Texas empties Rio Grande near Del Rio  Famous s frontier folklore  river flows Pecos Wilderness  rugged granite canyons waterfalls  passes small  highmountain meadows along 926mile journey  Set beaten path close enough convenience Ozona Comstock 60 miles away  Del Rio Sonora 90 miles away ,land,2006
for_sale,209000.0,2,2.0,3.0,1308.0,1.4,BEAUTIFUL NEW Construction located central Pharr  home features 3 beds 2 baths  along premium touches  Quartz countertops  high ceilings  beautiful stand showers large walk closets  one must see ,single_family,2023
for_sale,145000.0,0,2.3,3.5,2334.6,1.4,Beautiful 1001 Acres located outside Centerville  Centrally located Dallas Houston  land buying opportunity  Woodland Hills Ranch  property densely wooded huge oaks pine trees  surrounded border line trail  Deer  squirrel  wildlife plentiful  Driveway put culvert road large culvert creek  small pond dug also  Woodland Hills Ranch also surrounded premier water recreation many lakes including Lake Limestone  Houston County Lake  Fort Boggy State Park  making great place boating  fishing  enjoy outside nature  Buyers start enjoying pure country lifestyle deserve scenic views  private county roads  electric water available  low wildlife  exempt taxes ,farm,2006
for_sale,269950.0,2,2.0,4.0,1750.0,1.4,ll love gorgeous spacious single level home  4bedroom  2bathroom home 2car garage give 1  750 sq ft generous space move provides quaint  cozy atmosphere  huge master room plenty closet space    home offers topnotch lighting package  farm ranch apron sink  pot filler  granite countertops throughout  sprayfoam insulation  plus much    listing subject errors  omissions  changes without notice  Info provided deemed reliable guaranteed independently verified  MLS Elevation s marketing purposes may reflect colors upgrades accurately  Please verify colors  upgrades color selection ,single_family,2024
for_sale,599000.0,3,3.0,5.0,2596.0,1.0,URIAH Real Estate Organization exclusively retained market sell two homes approximately 1943  acres Natalia  TX  Perfect opportunity anyone looking live close family  additional home income producing purposes subdivide property sell additional acres  Versatile land  excellent location  ready occupied developed  Owner willing finance ,farm,1986
for_sale,579000.0,4,4.0,4.0,2983.0,2.0,Amazing ranch  tract 1  2 homes  30 acres barbwire  goat wire fencing  cross fencing course  red barn  property secluded private quiet living experience  Sit back enjoy stunning views comfort wrap around porch huge  24x25 covered patio back  main house custom built 4 bed4 bath home gorgeous rock fireplace  exposed beams open loft  home hidden safe room 27gun safe  Wired security cameras  2 beds2 baths downstairs including main 2 beds2 baths upstairs  Main bedroom window seat  ensuite clawfoot tub  standalone shower  double vanities double walkin closets  Two identical upstairs bedrooms baths  builtin desks  window seats  walkin closets reading nooks  reading nooks converted closets  Open concept kitchen granite counter tops  breakfast bar  pantry dining area French doors leading patio  laundrymud builtin desk access patio also  parking deck steps away backdoor leading playscape  fenced separately  New roof 2021  30x50 barn features skylights  electricity  water  fans  heaters tack room  designed convert 10 10x10 stalls  Dutch windows 2 roll top doors  Barn roof replaced 2022  mobile home walking distance main home  separate entrance fenced separately  1024 SF  built concrete slab  2 beds2 baths walkin closets  Open floorplan  vaulted ceiling  pantry  oven  dishwasher  refrigerator breakfast bar  front porch covered back patiocarport 10x20 insulated storage room electricity  Separate aerobic system home  3 water meters electrical hook RV ,farm,2006
for_sale,250000.0,6,4.0,9.0,7000.0,1.0, 250  000 OPENING BID PROPERTY SELLING LIVE AUCTION SATURDAY  FEBRUARY 17 11AM  BANK OWNED 258ac Executive Estate located south Sulphur Springs  east Emory less 5 minutes Lake Fork  famous Bass Fishing  incredible property Offered Sale Auction divided 2 Tracts  Buy either Tract Buy  Tract 1 209ac 9 Bedroom6 Bath 7000  Custom Home Pool  2 Kitchens  2 Car Garage  Covered RV Park 3 bay Boat Building  adjoining Tract 2 049ac covered 6 Boat Bay  Opening Bid  250  000 Tract 1  10  000 Tract 2  Property sells CONTIGENCIES related Financing  Post Sale Inspections Appraisals Option Period  Registration begins 9am  Live Auction 11am  10  Buyer s Premium added High Bid constitute Total Contract Price  Buyer s Premium paid day Auction  Remaining Balance due Thursday  March 21 Doster Law Group Denton ,single_family,2002
for_sale,236500.0,2,2.0,3.0,1705.0,1.0,821 E CLINTON AVENUE  Wellmaintained immaculate threebedroom  twobath home fabulous location near Cain Park  schools  churches  Updated new hardwood flooring  home offers formal living room  spacious den woodburning heater  gas starter   breakfast area  galleystyle kitchen  side entry garage  covered patio great entertaining  Check metal shop covered space backyard  traditional style home classic offering full charm comfort  feels like home ,single_family,1969
for_sale,135000.0,2,2.0,2.0,804.0,1.0,Come see precious home heart Nederland  charm character old home less 30 years old  Two bedroom  two bathroom hardwood floors  stand alone soaking tub  beadboard detached garage converted extra room heatingcooling  home also located double lot  Make appointment today ,single_family,2006
for_sale,28950000.0,0,2.3,3.5,2334.6,1.4,Dragoo Draw Ranch s consecutive acreage pure beauty make truly rare find  ranch features gentlyrolling terrain plentiful hardwoods native grasses  Cedar mesquite methodically eradicated headquarters decades  Dragoo Draw Ranch multiple homes improvements including excellent working pipe corrals five holding traps five locations  good fencing creates eight different pastures amongst ranch  property also features abundance wildlife provides excellent hunting  mustsee ranch ,farm,2006
for_sale,675000.0,3,2.0,4.0,2880.0,1.0,looking little slice country heaven  Look  unique 4 bedroom 25 bathroom home looking two acres  Find peace driving long driveway see 6X80 front porch  Entertaining house easy 20X80 covered back porch amazing views  Walk find rustic charm open dining room  kitchen living floor plan  kitchen dream island slab granite  double ovens  every plug kitchen different breaker ready entertain  large pantry also safe room  isolated primary bedroom beautiful bathroom tub built inside shower  primary closet plenty space built ins storage room behind primary closet  side house three bedrooms bathroom  kitchen find laundry room half bathroom  property ready make ,single_family,2018
for_sale,280000.0,3,2.0,4.0,2448.0,2.0,WELCOME HOME     Fully updated home featuring 4 bedrooms 25 bath  Open concept floor plan modern LED Lighting throughout  Bathrooms updated new hardy sheets  tile  toilets  vanities  new laminate flooring throughout  New windows  doors baseboard  New drywall freshly textured  Fresh exterior interior paint  exterior walls new insulation  plumbing updated PVC Pex pipes  New Roof  New wood cabinets granite countertops  new appliances installed January 2024  Water heater installed January 2024  New HVAC System installed January 2024  Spacious backyard  Check beautiful home gone  Near highways stores  beauty s updated perfection  must see  nt want miss one  schedule showing ,single_family,1930
for_sale,635000.0,2,2.0,4.0,2300.0,1.0,Plenty room spread Rendon home located desirable Mansfield ISD  Sitting 15 acres mature trees enjoy charms quiet country living  adjoining 2 bedroom  1 bath guest house  full kitchen  laundry area sunroom makes perfect multigenerational option combined living space 4  000 square feet  circular drive  attached carport oversized detached garage allow plenty parking  recreational vehicles  camping sports equipment storage  gated entrance provides privacy security  main house many updates including granite kitchen baths  living room features beautiful brick fireplace  vaulted ceiling  lovely builtins  overlooks large backyard  love front porch spans length front home framed landscaping  plus great covered back patio  HOA ,single_family,1989
for_sale,712500.0,4,3.0,4.0,3256.0,1.4,love spacious home outskirts New Home  TX located mile half school  gorgeous home one acre  farmfield view kitchen  custombuilt beautiful  highend finishes including cafe series appliances  gas range  enclosed sunroom  upstairs living room  custom window coverings  exterior includes 35 x 25 shop  ground pool  hot tub  large slab goal basketball  also includes private well  septic system  RO system  water softener  access Poka Lambro high speed fiberoptic internet  Located less 5 minutes HWY 87  right paved road Slide  love location  modern amenities farmhouse feel property  MUST SEE ,single_family,2021
for_sale,395000.0,3,2.0,3.0,1927.0,2.0,Great property Carriage Hills updated new buyers  get home like 3 bedrooms  25 baths HALF ACRE zoned Woodlands High School tax rate 174     ca nt  price point  stitch carpet found anywhere  new flooring throughout home except one bedroom previously replaced wood floors remain  kitchen NEW appliances  NEW SINK  NEW COUNTERTOPS  NEW DISHWASHER  home renovated  yet keeps s charm  stair ballusters keep awesome vibe home  Lot s light comes thru second story windows  fireplace stunning focal point living area  Wildlife abounds area  backyard huge possibilities gardening projects limitless  like living country getting benefits city  Come check ,single_family,1979
for_sale,240000.0,2,2.0,3.0,1500.0,2.0,Escape tranquility twostory lake home hour Corpus Christi  Nestled amidst majestic live oak trees  s conveniently located near Lake Corpus Christi s boat ramp backs onto community pool serene BUCKEYE KNOLL neighborhood  master bedroom full bathroom downstairs  two additional bedrooms  another full bathroom  complete kitchen easily accessible upstairs  upper level offers spacious living area  downstairs space doubles entertainment area full bath outdoor convenience  Furniture negotiable personalized touch  Explore canal leading Nueces River Buckeye Knoll  enjoy community amenities like drinking water  park large pool  boat launch  shade majestic oak trees  Make lakeside embrace tranquility ,single_family,1968
for_sale,519900.0,3,3.0,4.0,3493.0,2.0,Classic home modern amenities nestled Morningside acre  Unique details  tall ceilings  detailed moldings hardwood floors  Formal living room fireplace builtins  Formal dining doors patio  Kitchen features island breakfast area  Primary suite offers vaulted ceiling  fireplace  huge walkin closet updated bath large shower  Secondary bedrooms spacious updated baths  Outdoor living area bar fireplace  Basement  apartment ,single_family,1939
for_sale,575000.0,2,2.0,4.0,2234.0,1.0,Welcome country homewith easy convenience Odem  4bedroom 2bath home situated 2125 acres 36X90 barn much offer  home offers open floorplan large kitchen plenty granite counter space hardwood cabinetry  Two dining areas offer flexibility office space second living area  desired  Primary suite offers large bedrooms area spacious spalike bath large walkin closet  Generous guest bedrooms  split arrangement  offer plenty space  Separate laundry room dropzone 2car garage extra storage space  rear patio extended 2023 enjoy outdoor lifestyle open space leading barn  barn windstormcertified 200amp service water  Chicken coop Connex storage container convey Buyers  Home features 2020 roof  2020 rebuild septic system  2020 tile flooring  Back fencing redone 2020  Great set FFA 4H projects ,single_family,2002
for_sale,95000.0,1,1.0,2.0,720.0,2.0,Welcome recently renovated 2bedroom  1bath home situated sprawling property encompassing six lots  providing abundance space opportunities  property offers generous carport easily accommodates two cars  along adjacent RV storage area  catering adventure enthusiasts  versatile shed serves ideal workshop  catering hobbyists DIY enthusiasts  Inside  house boasts contemporary finishes bright  inviting atmosphere  two bedrooms offer comfortable retreats  open living areas create welcoming space relaxation entertainment  property size  room various possibilities  listing offers unique blend indoor comfort outdoor freedom  providing wonderful opportunity embrace newly remodeled home ample space make  nt miss chance call property explore countless opportunities presents ,single_family,2010
for_sale,530000.0,2,2.0,3.0,1922.0,1.0,Attention Horse Lovers  nt want miss great horse property Wall ISD  Sitting 65 unrestricted acres  property dream horses  3 bedroom 2 bath brick home lots extras  new pipe fencing around property  great well  pumps 25 gal per minute   access Millersview Rural Water desired  2 living areas  large covered patio  30  x 60  insulated shop w 20x60  overhang  3 partially covered horse stalls 35x17   2 fenced traps 290x250  75x250   Make appointment today see one ,single_family,1994
for_sale,229900.0,2,2.0,3.0,1610.0,1.0,Welcome delightful 3bedroom  2bathroom home nestled Gilmer Independent School District  Boasting 1  610 square feet living space  residence offers comfortable inviting atmosphere  enter  re greeted open floor plan seamlessly connects living room  dining area  kitchen  home includes three cozy bedrooms  including master suite private bathroom generous closet space  Outside  ll find spacious backyard  ideal outdoor activities gatherings  Additional features home include central air conditioning  modern fixtures  twocar garage added convenience  Located within Gilmer ISD  home offers access excellent schools welcoming community atmosphere  nt miss opportunity make charming residence ,single_family,1970
